ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency, AmtWines , AmtFruits , AmtMeatProducts , AmtFishProducts , AmtSweetProducts , AmtGoldProds ,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,TotalCampaignsAccepted,AgeGroup,HouseholdSize,TotalSpend,EngagementScore
1379,1992,Master,Together," $42,670.00 ",0,0,27/04/2013,12, $154 , $2 , $46 , $20 , $4 , $15 ,1,4,2,4,4,0,0,0,0,0,0,0,South Africa,22,0,Youth,0,241,15
8560,1992,Graduation,Single," $48,789.00 ",0,0,09/10/2012,94, $351 , $16 , $156 , $7 , $5 , $145 ,1,6,4,7,6,0,0,0,0,0,0,0,Canada,22,0,Youth,0,680,24
8175,1992,Graduation,Married," $34,935.00 ",0,0,21/06/2013,71, $34 , $4 , $66 , $3 , $10 , $20 ,1,2,1,4,7,0,0,0,0,0,0,0,South Africa,22,0,Youth,0,137,15
3386,1992,Graduation,Married," $34,935.00 ",0,0,21/06/2013,71, $34 , $4 , $66 , $3 , $10 , $20 ,1,2,1,4,7,0,0,0,0,0,0,0,Spain,22,0,Youth,0,137,15
3005,1992,Graduation,Single," $83,528.00 ",0,0,05/01/2014,7, $530 , $117 , $678 , $134 , $44 , $147 ,1,4,10,8,1,1,0,0,1,0,1,0,Spain,22,3,Youth,0,1650,24
10513,1992,Graduation,Together," $63,207.00 ",0,0,20/01/2013,68, $438 , $169 , $565 , $91 , $169 , $70 ,1,2,3,6,7,0,0,0,1,0,0,0,Spain,22,1,Youth,0,1502,19
1384,1992,Basic,Married," $17,256.00 ",1,0,23/11/2013,10, $6 , $4 , $14 , $8 , $8 , $22 ,2,2,1,2,8,1,0,0,0,0,0,0,US,22,1,Youth,1,62,15
4552,1991,Graduation,Married," $51,373.00 ",0,0,22/06/2013,37, $83 , $2 , $101 , $64 , $26 , $117 ,1,3,5,3,4,0,0,0,0,0,0,0,Spain,23,0,Youth,0,393,16
9960,1991,Basic,Single," $26,868.00 ",1,0,30/04/2014,52, $-   , $-   , $1 , $8 , $3 , $2 ,1,1,0,2,7,0,0,0,0,0,0,0,South Africa,23,0,Youth,1,14,11
4500,1991,PhD,Together," $68,682.00 ",0,0,10/06/2013,56, $919 , $-   , $505 , $99 , $30 , $45 ,1,4,9,10,2,0,0,0,0,0,0,0,Spain,23,0,Youth,0,1598,26
4712,1991,2n Cycle,Together," $20,193.00 ",0,0,28/11/2012,18, $8 , $8 , $22 , $24 , $11 , $9 ,1,1,1,4,4,0,0,0,0,0,0,0,Spain,23,0,Youth,0,82,11
3428,1991,PhD,Together," $68,682.00 ",0,0,10/06/2013,56, $919 , $-   , $505 , $99 , $30 , $45 ,1,4,9,10,2,0,0,0,0,0,0,0,Spain,23,0,Youth,0,1598,26
10749,1991,Graduation,Single," $8,028.00 ",0,0,18/09/2012,62, $73 , $18 , $66 , $7 , $12 , $2 ,15,0,1,0,19,0,0,0,0,0,0,0,Spain,23,0,Youth,0,178,35
5631,1991,Graduation,Single," $49,767.00 ",0,0,05/02/2013,92, $202 , $47 , $197 , $55 , $42 , $149 ,1,5,4,8,4,0,0,0,0,0,0,0,US,23,0,Youth,0,692,22
10343,1991,2n Cycle,Single," $61,618.00 ",0,0,29/09/2012,27, $605 , $91 , $399 , $-   , $45 , $205 ,2,3,6,8,3,0,0,0,0,0,0,0,India,23,0,Youth,0,1345,22
9214,1991,Graduation,Married," $42,691.00 ",0,0,16/08/2013,48, $179 , $2 , $64 , $38 , $17 , $58 ,1,5,1,6,5,0,0,0,0,0,0,0,Spain,23,0,Youth,0,358,18
569,1991,Graduation,Single," $90,273.00 ",0,0,14/12/2013,32, $704 , $129 , $853 , $120 , $74 , $111 ,1,5,6,7,2,0,1,1,1,0,1,0,Spain,23,4,Youth,0,1991,21
999,1991,Graduation,Single," $86,037.00 ",0,0,01/02/2013,95, $490 , $44 , $125 , $29 , $20 , $22 ,1,6,7,11,3,0,1,1,0,0,1,0,Canada,23,3,Youth,0,730,28
7431,1991,PhD,Single," $68,126.00 ",0,0,11/10/2012,40," $1,332 ", $17 , $311 , $23 , $51 , $86 ,1,7,4,5,9,0,1,0,0,0,1,0,Canada,23,2,Youth,0,1820,26
11101,1991,Graduation,Together," $89,891.00 ",0,0,15/04/2013,17, $412 , $22 , $132 , $59 , $28 , $183 ,1,11,6,8,4,0,0,1,0,0,0,0,Australia,23,1,Youth,0,836,30
5735,1991,Master,Single," $90,638.00 ",0,0,13/02/2014,29," $1,156 ", $120 , $915 , $94 , $144 , $96 ,1,3,4,10,1,0,0,1,0,0,0,0,Spain,23,1,Youth,0,2525,19
5350,1991,Master,Single," $90,638.00 ",0,0,13/02/2014,29," $1,156 ", $120 , $915 , $94 , $144 , $96 ,1,3,4,10,1,0,0,1,0,0,1,0,South Africa,23,2,Youth,0,2525,19
8151,1990,Basic,Married," $24,279.00 ",0,0,29/12/2012,6, $16 , $36 , $21 , $20 , $62 , $108 ,1,4,1,3,8,0,0,0,0,0,0,0,Spain,24,0,Youth,0,263,17
7620,1990,Basic,Single," $16,185.00 ",1,0,08/05/2013,71, $5 , $11 , $16 , $21 , $8 , $45 ,2,2,2,2,8,0,0,0,0,0,0,0,India,24,0,Youth,1,106,16
8541,1990,2n Cycle,Married," $24,683.00 ",1,0,03/08/2014,98, $8 , $4 , $10 , $6 , $7 , $6 ,2,2,0,4,5,0,0,0,0,0,0,0,Spain,24,0,Youth,1,41,13
8278,1990,PhD,Married," $74,214.00 ",0,0,26/08/2012,3, $863 , $83 , $547 , $86 , $99 , $33 ,1,8,2,5,5,0,0,0,0,0,0,0,Spain,24,0,Youth,0,1711,21
2005,1990,Graduation,Married," $35,765.00 ",1,0,12/11/2013,86, $22 , $3 , $30 , $-   , $5 , $15 ,2,2,0,4,6,0,0,0,0,0,0,0,Canada,24,0,Youth,1,75,14
2678,1990,Graduation,Single," $34,412.00 ",1,0,13/02/2013,62, $52 , $12 , $50 , $4 , $36 , $55 ,3,5,0,3,9,0,0,0,0,0,0,0,Australia,24,0,Youth,1,209,20
1876,1990,Graduation,Married," $18,929.00 ",0,0,16/02/2013,15, $32 , $-   , $8 , $23 , $4 , $18 ,1,1,0,4,6,0,0,0,0,0,0,0,India,24,0,Youth,0,85,12
10595,1990,Graduation,Married," $30,093.00 ",0,0,07/08/2013,19, $2 , $6 , $28 , $13 , $4 , $16 ,1,2,0,3,7,0,0,0,0,0,0,0,Spain,24,0,Youth,0,69,13
2253,1990,Graduation,Married," $18,929.00 ",0,0,16/02/2013,15, $32 , $-   , $8 , $23 , $4 , $18 ,1,1,0,4,6,0,0,0,0,0,0,0,Spain,24,0,Youth,0,85,12
2431,1990,Graduation,Married," $18,222.00 ",0,0,31/12/2012,70, $12 , $4 , $19 , $12 , $6 , $14 ,1,2,0,3,8,0,0,0,0,0,0,0,Spain,24,0,Youth,0,67,14
3068,1990,Graduation,Married," $18,351.00 ",0,0,29/10/2013,1, $1 , $12 , $9 , $-   , $14 , $7 ,1,2,0,3,7,0,0,0,0,0,0,0,Spain,24,0,Youth,0,43,13
2326,1990,Graduation,Married," $18,929.00 ",0,0,16/02/2013,15, $32 , $-   , $8 , $23 , $4 , $18 ,1,1,0,4,6,0,0,0,0,0,0,0,Spain,24,0,Youth,0,85,12
10203,1990,Graduation,Single," $26,095.00 ",1,0,30/06/2013,77, $11 , $7 , $9 , $3 , $1 , $11 ,1,1,0,3,7,0,0,0,0,0,0,0,Spain,24,0,Youth,1,42,12
9242,1990,Graduation,Single," $64,509.00 ",0,0,17/08/2013,19, $836 , $185 , $575 , $24 , $25 , $77 ,1,6,3,9,4,1,0,0,0,0,1,0,South Africa,24,2,Youth,0,1722,23
9529,1990,Graduation,Married," $73,687.00 ",0,0,28/11/2013,8, $559 , $153 , $503 , $218 , $13 , $181 ,1,3,9,9,2,0,0,0,1,0,1,0,South Africa,24,2,Youth,0,1627,24
2109,1990,Graduation,Single," $96,843.00 ",0,0,23/04/2013,60, $448 , $71 , $951 , $40 , $17 , $17 ,1,6,11,10,2,0,0,1,0,0,1,0,Spain,24,2,Youth,0,1544,30
3520,1990,Master,Single," $91,172.00 ",0,0,27/03/2013,94, $162 , $28 , $818 , $-   , $28 , $56 ,0,4,3,7,3,1,0,1,1,1,1,0,Canada,24,5,Youth,0,1092,17
4656,1990,2n Cycle,Single," $51,250.00 ",1,0,30/03/2013,28, $342 , $32 , $230 , $34 , $32 , $40 ,5,10,5,4,9,1,0,0,0,0,0,0,South Africa,24,1,Youth,1,710,33
5294,1989,Graduation,Single," $18,358.00 ",1,0,20/11/2013,49, $6 , $8 , $19 , $16 , $4 , $4 ,3,3,0,4,7,0,0,0,0,0,0,0,Spain,25,0,Youth,1,57,17
5012,1989,Graduation,Married," $28,691.00 ",1,0,07/04/2013,56, $5 , $4 , $13 , $8 , $-   , $4 ,1,1,0,3,8,0,0,0,0,0,0,0,Spain,25,0,Youth,1,34,13
663,1989,PhD,Single," $33,996.00 ",0,0,09/11/2013,46, $40 , $2 , $15 , $8 , $-   , $6 ,1,1,1,3,4,0,0,0,0,0,0,0,Spain,25,0,Youth,0,71,10
6918,1989,Graduation,Married," $28,691.00 ",1,0,07/04/2013,56, $5 , $4 , $13 , $8 , $-   , $4 ,1,1,0,3,8,0,0,0,0,0,0,0,Spain,25,0,Youth,1,34,13
451,1989,Graduation,Single," $9,255.00 ",1,0,20/12/2013,91, $9 , $-   , $7 , $2 , $-   , $4 ,1,1,1,2,8,0,0,0,0,0,0,0,India,25,0,Youth,1,22,13
4271,1989,2n Cycle,Together," $38,683.00 ",1,0,10/04/2012,80, $46 , $35 , $69 , $84 , $41 , $66 ,6,4,1,6,7,0,0,0,0,0,0,0,India,25,0,Youth,1,341,24
8789,1989,2n Cycle,Married," $59,060.00 ",1,0,01/11/2014,77, $35 , $40 , $111 , $36 , $40 , $12 ,3,3,1,7,4,0,0,0,0,0,0,0,Spain,25,0,Youth,1,274,18
6864,1989,Master,Divorced," $10,979.00 ",0,0,22/05/2014,34, $8 , $4 , $10 , $2 , $2 , $4 ,2,3,0,3,5,0,0,0,0,0,0,0,Australia,25,0,Youth,0,30,13
5987,1989,2n Cycle,Together," $10,404.00 ",1,0,05/04/2014,52, $2 , $2 , $11 , $10 , $6 , $12 ,2,1,0,4,5,0,0,0,0,0,0,0,Spain,25,0,Youth,1,43,12
10617,1989,Master,Divorced," $10,979.00 ",0,0,22/05/2014,34, $8 , $4 , $10 , $2 , $2 , $4 ,2,3,0,3,5,0,0,0,0,0,0,0,Spain,25,0,Youth,0,30,13
6516,1989,Basic,Married," $17,487.00 ",1,0,18/03/2013,37, $-   , $-   , $1 , $7 , $4 , $6 ,1,1,0,2,7,0,0,0,0,0,0,0,Australia,25,0,Youth,1,18,11
5692,1989,Basic,Married," $25,443.00 ",1,0,22/12/2012,82, $1 , $4 , $3 , $8 , $9 , $7 ,1,1,0,3,8,0,0,0,0,0,0,0,South Africa,25,0,Youth,1,32,13
5602,1989,PhD,Together," $66,973.00 ",0,0,17/05/2013,98, $466 , $22 , $432 , $147 , $113 , $102 ,1,8,7,12,3,0,0,0,0,0,0,0,India,25,0,Youth,0,1282,31
9422,1989,Graduation,Married," $38,360.00 ",1,0,31/05/2013,26, $36 , $2 , $42 , $20 , $21 , $10 ,2,2,1,4,3,0,0,0,0,0,0,0,Australia,25,0,Youth,1,131,12
6678,1989,Graduation,Together," $31,928.00 ",1,0,28/03/2014,5, $33 , $4 , $24 , $4 , $2 , $5 ,2,3,0,4,7,0,0,0,0,0,0,0,India,25,0,Youth,1,72,16
8299,1989,PhD,Single," $33,996.00 ",0,0,09/11/2013,46, $40 , $2 , $15 , $8 , $-   , $6 ,1,1,1,3,4,0,0,0,0,0,0,0,South Africa,25,0,Youth,0,71,10
7646,1989,Graduation,Single," $64,449.00 ",1,0,18/02/2014,70, $218 , $63 , $282 , $137 , $35 , $70 ,4,5,3,12,4,0,0,0,0,0,0,0,Spain,25,0,Youth,1,805,28
4324,1989,Graduation,Married," $42,387.00 ",1,0,29/10/2012,42, $235 , $-   , $235 , $19 , $4 , $191 ,5,8,1,7,8,0,0,0,0,0,0,0,Spain,25,0,Youth,1,684,29
538,1989,Graduation,Single," $46,107.00 ",1,0,02/10/2014,78, $31 , $9 , $27 , $16 , $9 , $33 ,1,1,1,4,3,0,0,0,0,0,0,0,South Africa,25,0,Youth,1,125,10
6071,1989,Graduation,Single," $81,217.00 ",0,0,19/07/2013,77, $493 , $70 , $324 , $146 , $40 , $84 ,1,3,7,11,1,0,0,0,0,0,0,0,Spain,25,0,Youth,0,1157,23
295,1989,Graduation,Single," $81,217.00 ",0,0,19/07/2013,77, $493 , $70 , $324 , $146 , $40 , $84 ,1,3,7,11,1,0,0,0,0,0,0,0,Spain,25,0,Youth,0,1157,23
10642,1989,Graduation,Single," $30,279.00 ",1,0,30/12/2012,13, $10 , $4 , $14 , $4 , $4 , $1 ,1,1,0,3,8,0,0,0,0,0,0,0,Spain,25,0,Youth,1,37,13
523,1989,Graduation,Married," $37,155.00 ",1,0,31/01/2013,51, $23 , $-   , $26 , $7 , $15 , $3 ,1,2,0,4,5,0,0,0,0,0,0,0,Spain,25,0,Youth,1,74,12
4459,1989,Graduation,Single," $30,279.00 ",1,0,30/12/2012,13, $10 , $4 , $14 , $4 , $4 , $1 ,1,1,0,3,8,0,0,0,0,0,0,0,Spain,25,0,Youth,1,37,13
3010,1989,Master,Together," $88,420.00 ",0,0,05/02/2014,87, $957 , $153 , $612 , $99 , $95 , $153 ,1,4,7,8,1,1,0,1,1,0,0,0,Spain,25,3,Youth,0,2069,21
2437,1989,Graduation,Married,  ,0,0,06/03/2013,69, $861 , $138 , $461 , $60 , $30 , $61 ,1,6,5,12,3,0,1,0,1,0,0,0,Spain,25,2,Youth,0,1611,27
10767,1989,PhD,Together," $77,845.00 ",0,0,16/05/2014,40, $760 , $40 , $480 , $-   , $40 , $26 ,1,3,5,12,1,0,0,1,1,0,0,0,US,25,2,Youth,0,1346,22
1031,1989,2n Cycle,Married," $85,710.00 ",0,0,05/05/2013,5, $600 , $20 , $350 , $29 , $30 , $33 ,1,6,9,10,2,0,0,1,0,0,0,0,India,25,1,Youth,0,1062,28
5371,1989,Graduation,Single," $21,474.00 ",1,0,04/08/2014,0, $6 , $16 , $24 , $11 , $-   , $34 ,2,3,1,2,7,1,0,0,0,0,1,0,Spain,25,2,Youth,1,91,15
8746,1989,Graduation,Married," $75,433.00 ",1,0,04/05/2014,28, $800 , $-   , $297 , $-   , $34 , $57 ,2,2,5,10,6,0,1,0,1,0,0,0,Spain,25,2,Youth,1,1188,25
5396,1988,Graduation,Married," $68,487.00 ",0,0,13/01/2013,48, $758 , $12 , $385 , $33 , $89 , $89 ,1,9,7,13,4,0,0,0,0,0,0,0,Australia,26,0,Youth,0,1366,34
9771,1988,2n Cycle,Single," $23,331.00 ",1,0,10/05/2012,97, $104 , $20 , $101 , $24 , $15 , $5 ,6,5,1,5,9,0,0,0,0,0,0,0,India,26,0,Youth,1,269,26
10995,1988,2n Cycle,Married," $15,716.00 ",1,0,11/12/2012,8, $16 , $5 , $30 , $8 , $7 , $26 ,3,3,0,4,8,0,0,0,0,0,0,1,South Africa,26,0,Youth,1,92,18
3559,1988,2n Cycle,Married," $16,248.00 ",1,0,05/10/2014,77, $12 , $11 , $10 , $3 , $12 , $9 ,3,2,1,3,6,0,0,0,0,0,0,0,India,26,0,Youth,1,57,15
3745,1988,2n Cycle,Married," $23,331.00 ",1,0,09/04/2012,92, $5 , $36 , $7 , $-   , $10 , $45 ,2,3,0,3,8,0,0,0,0,0,0,0,India,26,0,Youth,1,103,16
1755,1988,2n Cycle,Together," $45,204.00 ",1,0,04/11/2014,93, $30 , $11 , $25 , $29 , $1 , $18 ,1,1,1,4,3,0,0,0,0,0,0,0,South Africa,26,0,Youth,1,114,10
2874,1988,2n Cycle,Divorced," $35,388.00 ",1,0,03/07/2013,20, $6 , $4 , $7 , $4 , $3 , $8 ,1,1,0,3,7,0,0,0,0,0,0,0,South Africa,26,0,Youth,1,32,12
2747,1988,PhD,Married," $67,546.00 ",0,0,31/08/2012,90, $864 , $134 , $768 , $150 , $38 , $172 ,1,4,10,5,3,0,0,0,0,0,0,0,Spain,26,0,Youth,0,2126,23
6406,1988,Master,Married," $78,285.00 ",0,0,28/10/2013,13, $647 , $107 , $391 , $175 , $67 , $40 ,1,6,4,10,3,0,0,0,0,0,0,0,Germany,26,0,Youth,0,1427,24
8867,1988,PhD,Married," $67,546.00 ",0,0,31/08/2012,90, $864 , $134 , $768 , $150 , $38 , $172 ,1,4,10,5,3,0,0,0,0,0,0,0,South Africa,26,0,Youth,0,2126,23
1324,1988,Graduation,Married," $38,872.00 ",1,0,30/05/2013,93, $23 , $3 , $21 , $3 , $19 , $22 ,2,3,0,3,8,0,0,0,0,0,0,0,India,26,0,Youth,1,91,16
5010,1988,Graduation,Single," $25,008.00 ",1,0,02/02/2014,72, $2 , $8 , $8 , $6 , $1 , $9 ,2,1,0,3,8,0,0,0,0,0,0,0,Spain,26,0,Youth,1,34,14
1717,1988,Graduation,Single," $39,747.00 ",1,0,13/04/2014,43, $80 , $15 , $93 , $20 , $13 , $52 ,3,5,1,4,8,0,0,0,0,0,0,0,South Africa,26,0,Youth,1,273,21
9701,1988,Graduation,Together," $41,883.00 ",1,0,19/03/2013,13, $32 , $34 , $41 , $73 , $16 , $116 ,3,4,2,3,7,0,0,0,0,0,0,0,Canada,26,0,Youth,1,312,19
3312,1988,Graduation,Single," $34,176.00 ",1,0,05/12/2014,12, $5 , $7 , $24 , $19 , $14 , $20 ,4,3,0,4,6,0,0,0,0,0,0,0,India,26,0,Youth,1,89,17
92,1988,Graduation,Alone," $34,176.00 ",1,0,05/12/2014,12, $5 , $7 , $24 , $19 , $14 , $20 ,4,3,0,4,6,0,0,0,0,0,0,0,Canada,26,0,Youth,1,89,17
9530,1988,Graduation,Married," $24,645.00 ",1,0,11/01/2012,16, $5 , $3 , $4 , $4 , $1 , $-   ,1,1,0,2,8,0,0,0,0,0,0,0,South Africa,26,0,Youth,1,17,12
7437,1988,Graduation,Single," $27,938.00 ",1,0,28/04/2014,31, $13 , $-   , $8 , $2 , $1 , $5 ,1,1,0,4,3,0,0,0,0,0,0,0,Australia,26,0,Youth,1,29,9
486,1988,Graduation,Married," $84,219.00 ",0,0,02/02/2014,27, $434 , $137 , $400 , $45 , $137 , $45 ,1,3,4,10,1,0,0,0,0,0,0,0,Canada,26,0,Youth,0,1198,19
10981,1988,Graduation,Married," $84,219.00 ",0,0,02/02/2014,27, $434 , $137 , $400 , $45 , $137 , $45 ,1,3,4,10,1,0,0,0,0,0,0,0,South Africa,26,0,Youth,0,1198,19
6637,1988,Graduation,Single," $66,951.00 ",0,0,11/02/2013,46, $277 , $162 , $305 , $173 , $76 , $124 ,1,3,4,7,1,0,0,0,0,0,0,0,India,26,0,Youth,0,1117,16
6318,1988,Graduation,Married," $68,487.00 ",0,0,13/01/2013,48, $758 , $12 , $385 , $33 , $89 , $89 ,1,9,7,13,4,0,0,0,0,0,0,0,Canada,26,0,Youth,0,1366,34
6729,1988,Graduation,Single," $68,655.00 ",0,0,08/10/2012,95, $456 , $19 , $832 , $75 , $118 , $38 ,1,4,5,11,3,0,0,0,0,0,0,0,South Africa,26,0,Youth,0,1538,24
10172,1988,Graduation,Single," $68,655.00 ",0,0,08/10/2012,95, $456 , $19 , $832 , $75 , $118 , $38 ,1,4,5,11,3,0,0,0,0,0,0,0,Spain,26,0,Youth,0,1538,24
9081,1988,Graduation,Single," $20,518.00 ",1,0,18/05/2014,58, $4 , $1 , $6 , $4 , $1 , $9 ,1,1,1,2,5,0,0,0,0,0,0,0,Spain,26,0,Youth,1,25,10
10069,1988,Basic,Together," $13,724.00 ",1,0,31/08/2012,43, $2 , $7 , $5 , $2 , $15 , $27 ,1,2,0,2,9,1,0,0,0,0,0,0,South Africa,26,1,Youth,1,58,14
5176,1988,Graduation,Together," $29,604.00 ",1,0,12/08/2013,88, $7 , $6 , $13 , $7 , $6 , $14 ,1,1,0,3,9,1,0,0,0,0,0,0,South Africa,26,1,Youth,1,53,14
1763,1988,Graduation,Together," $87,679.00 ",0,0,27/07/2013,62," $1,259 ", $172 , $815 , $97 , $148 , $33 ,1,7,11,10,4,1,0,1,1,0,1,0,Canada,26,4,Youth,0,2524,33
8029,1988,Master,Single," $90,247.00 ",0,0,29/04/2014,27," $1,184 ", $32 , $352 , $21 , $16 , $16 ,1,3,4,7,1,0,1,1,1,0,1,0,US,26,4,Youth,0,1621,16
5286,1987,Master,Single," $41,020.00 ",0,0,28/10/2013,68, $112 , $1 , $54 , $7 , $7 , $36 ,1,3,2,4,3,0,0,0,0,0,0,0,Canada,27,0,Youth,0,217,13
798,1987,Graduation,Single," $23,442.00 ",1,0,24/12/2012,71, $2 , $-   , $6 , $8 , $6 , $5 ,1,1,0,3,7,0,0,0,0,0,0,0,Spain,27,0,Youth,1,27,12
2532,1987,Master,Single," $73,454.00 ",0,0,03/01/2014,95, $982 , $73 , $351 , $56 , $14 , $175 ,1,2,4,6,5,1,0,0,0,0,0,0,Spain,27,1,Youth,0,1651,18
3202,1987,PhD,Married," $51,563.00 ",0,0,10/01/2012,60," $1,166 ", $-   , $48 , $-   , $-   , $36 ,1,4,4,10,8,0,1,1,0,0,0,0,South Africa,27,2,Youth,0,1250,27
2612,1987,Graduation,Married," $75,794.00 ",0,0,24/12/2013,33, $754 , $160 , $625 , $63 , $32 , $48 ,1,7,5,12,3,0,0,0,1,0,0,0,South Africa,27,1,Youth,0,1682,28
7962,1987,PhD,Single," $95,169.00 ",0,0,10/09/2013,1," $1,285 ", $21 , $449 , $106 , $20 , $20 ,1,4,3,4,1,0,0,1,1,0,1,0,Spain,27,3,Youth,0,1901,13
4608,1987,Graduation,Divorced," $81,361.00 ",0,0,25/02/2014,18, $163 , $23 , $424 , $27 , $65 , $76 ,1,3,10,13,1,0,0,0,0,0,1,0,South Africa,27,1,Youth,0,778,28
830,1987,PhD,Single," $74,004.00 ",0,0,24/02/2014,5, $784 , $48 , $560 , $42 , $176 , $48 ,1,4,6,4,3,0,0,1,1,0,1,0,India,27,3,Youth,0,1658,18
3628,1987,Basic,Single," $15,038.00 ",1,0,29/01/2013,93, $4 , $8 , $11 , $19 , $12 , $26 ,2,2,1,2,9,0,0,0,0,0,0,0,Spain,27,0,Youth,1,80,16
10643,1987,PhD,Single," $42,000.00 ",0,0,01/10/2013,23, $124 , $83 , $267 , $85 , $59 , $35 ,2,5,2,11,5,0,0,0,0,0,1,0,Australia,27,1,Youth,0,653,25
